product_id,category,unit_price
1,electronics,150
2,electronics,3850
3,electronics,3713
4,electronics,2293
5,electronics,1760
6,electronics,529
7,electronics,1985
8,electronics,1791
9,electronics,4658
10,electronics,3487
11,home,1744
12,home,4627
13,home,3877
14,home,4075
15,home,860
16,home,1002
17,home,2656
18,home,778
19,home,2193
20,home,3438
21,beauty,2746
22,beauty,1574
23,beauty,2336
24,beauty,2262
25,beauty,3410
26,beauty,4752
27,beauty,1579
28,beauty,567
29,beauty,2320
30,beauty,4729
31,grocery,3203
32,grocery,126
33,grocery,4175
34,grocery,2437
35,grocery,1942
36,grocery,1580
37,grocery,667
38,grocery,3806
39,grocery,2235
40,grocery,3255
41,sports,931
42,sports,3125
43,sports,4289
44,sports,724
45,sports,4975
46,sports,3785
47,sports,1558
48,sports,2972
49,sports,1048
50,sports,2033
51,fashion,2916
52,fashion,1957
53,fashion,1286
54,fashion,3026
55,fashion,4572
56,fashion,630
57,fashion,729
58,fashion,1326
59,fashion,2290
60,fashion,552
